1,ýýýýýýýýýýýýýýýýýýýýýýýýModerno 2ýýý,asdfasdf,101,JRï¿½ï¿½ï¿½,3,,,,,,,Tokyo,80000,80000,1R,5000,32,Apartment,Wood,15-11-2019,West,Air conditioning,available,,floor_images/image.jpg,floor_images/image-5.jpg,,"<p><iframe frameborder='0'"" height='""600'"" scrolling='""no'"" src='""https://my.matterport.com/show/?m=R9BTWNbqH6F'"" width='""890'""></iframe></p>""",Basement,Loft,Bath dryer,Dual stove and up,Delivery box,2 parking stalls and up,Free rent,Internet ready,1
2,AQUAï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Kawasaki chuo 2-3,Hello 405,Keioï¿½ï¿½ï¿½ï¿½ï¿½,5,,,,,,,Kanagawa,50000,50000,1R,2000,24,Apartment,Wood,15-11-2017,"North,South","Air conditioning,Balcony,Bath reheating feature,Closet,Flooring,Fully furnished,Gas compatible",available,,floor_images/image_rMFaS4d.jpg,floor_images/image-2.jpg,floor_images/image-25.jpg,,Basement,Loft,Bath dryer,Dual stove and up,Delivery box,2 parking stalls and up,Free rent,Internet ready,1
5,Shinjuku Terrace,Hatudai 1-2-3,Tower 1101,Keioï¿½ï¿½,7,,,,,,,Tokyo,90000,90000,1LDK,5000,40,Mansion,Reinforced concrete,20-11-2018,"South,West",Air conditioning,available,,floor_images/image_IDpIGqm.jpg,floor_images/image-1_UrlIZon.jpg,,,,,,,,,,,3
4,AQUAï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,Naema1-2-3,House 30,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,4,,,,,,,Saitama,40000,40000,1R,1000,27,Mansion,Reinforced concrete,01-11-2019,"South,West",Air conditioning,available,,floor_images/image_jzY8RU4.jpg,floor_images/image-1.jpg,,,"Corner suite,Top floor",,,,,,Immediate move-in,,3
6,Branche JiYu,Yokohama Chuo 1-2-3,808,ýýýýýý,10,,,,,,,Kanagawa,55000,55000,1LDK,3000,35,Apartment,Wood,01-11-2019,"East,North",Air conditioning,available,,floor_images/1376340941_640x640_ffffff.jpeg,floor_images/1375804470_640x640_ffffff.jpeg,,,,,,,,,,,3
7,Test01,ýýýýýýýýýýýýýýý3-2-1,201,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,5,,,,,,,Gunma,150000,150000,2K,5000,45,Apartment,Wood,15-11-2019,"North,South",Separate bath toilet,available,,floor_images/image-25_9Czx8eQ.jpg,floor_images/image-2_76ISaDU.jpg,,,Second floor,Shoe box,Bath dryer,,,,,,1
8,Test02,ýýýýýýýýýýýýýýý3-3-2,202,station,3,,,,,,,Ibaraki,76000,76000,1R,3000,50,Detaached house,Wood,15-11-2018,East,Separate bath toilet,available,,floor_images/image-26.jpg,floor_images/image-2_G0IvhJQ.jpg,,,,,,IH stove,,2 parking stalls and up,Pets ok,CATV,1
9,Test03,ýýýýýýýýýýýýýýýýýýýýý4-3-2,203,station,13,,,,,,,Tochigi,25000,25000,1R,2000,30,Terrace house,Steel frame,15-11-2011,"South,West",Flooring,available,,floor_images/image-21.jpg,floor_images/image-2_IRP9U25.jpg,,,First floor,,,Dual stove and up,,Free parking spot,Piano ok,"BS antenna,CATV,CS antenna",1
10,Test04,ýýýýýýýýýýýýýýýýýýýýýýýý1-1-1,202,station,5,,,,,,,Chiba,210000,210000,2LDK,10000,63,Mansion,Steel reinforced,11-11-2020,West,Fully furnished,available,,floor_images/image_MG9zPvD.jpg,floor_images/image-2_PRWoKs1.jpg,,,Corner suite,,"Bath dryer,Warm water washlet",IH stove,,,Instrument practice ok,,1
11,Test05,ýýýýýýýýýýýýýýý3-3,202,station,7,,,,,,,Tochigi,67000,67000,1DK,3000,28,Apartment,Wood,01-11-2016,East,Balcony,available,,floor_images/image-5_dysxIv9.jpg,floor_images/image-1_7mAjxmA.jpg,,,,,,,,,,,4
